site	iso	instance_id	instance_name	instance_abbr	source_url	edition_id	work_id	num_books	num_chapters	num_verses	num_words	text_included
bibles.org	eng	0bc8836afa7427fa-01	Translation for Translators		https://api.bible/bibles/0bc8836afa7427fa-01	translation-for-translators-2017	translation-for-translators	27	260	7860	315405	true
bibles.org	eng	fad27c00e7c042a2-01	Who? 2018		https://api.bible/bibles/fad27c00e7c042a2-01	who-bible-2018	who-bible	27	260	7667	169240	false
bibles.org	eng	9879dbb7cfe39e4d-01	World English Bible		https://api.bible/bibles/9879dbb7cfe39e4d-01	world-english-bible-2020	world-english-bible	27	260	7953	174750	true
bibles.org	eng	9879dbb7cfe39e4d-02	World English Bible		https://api.bible/bibles/9879dbb7cfe39e4d-02	world-english-bible-2020	world-english-bible	27	260	7953	174750	true
bibles.org	eng	9879dbb7cfe39e4d-03	World English Bible		https://api.bible/bibles/9879dbb7cfe39e4d-03	world-english-bible-2020	world-english-bible	27	260	7953	174750	true
bibles.org	eng	9879dbb7cfe39e4d-04	World English Bible		https://api.bible/bibles/9879dbb7cfe39e4d-04	world-english-bible-2020	world-english-bible	27	260	7953	174750	true
bibles.org	eng	7142879509583d59-01	World English Bible British Edition		https://api.bible/bibles/7142879509583d59-01	world-english-bible-2020-british	world-english-bible	27	260	7953	174806	true
bibles.org	eng	7142879509583d59-02	World English Bible British Edition		https://api.bible/bibles/7142879509583d59-02	world-english-bible-2020-british	world-english-bible	27	260	7953	174806	true
bibles.org	eng	7142879509583d59-03	World English Bible British Edition		https://api.bible/bibles/7142879509583d59-03	world-english-bible-2020-british	world-english-bible	27	260	7953	174806	true
bibles.org	eng	7142879509583d59-04	World English Bible British Edition		https://api.bible/bibles/7142879509583d59-04	world-english-bible-2020-british	world-english-bible	27	260	7953	174806	true
bibles.org	eng	72f4e6dc683324df-01	World English Bible Updated		https://api.bible/bibles/72f4e6dc683324df-01	world-english-bible-2020-updated	world-english-bible	27	260	7953	174753	true
bibles.org	eng	72f4e6dc683324df-02	World English Bible Updated		https://api.bible/bibles/72f4e6dc683324df-02	world-english-bible-2020-updated	world-english-bible	27	260	7953	174753	true
